country,continent,temperature_celsius,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Afghanistan,Asia,18.066666666666666,2.6166666666666663,4.258333333333334,33.583333333333336,16.083333333333332,0.049999999999999996,0.0016666666666666668,1009.8333333333334,29.815,10.0,6.0,1.9166666666666667,3.6,5.791666666666668,918.4833333333332,64.81666666666665,7.408333333333334,0.5916666666666667,14.633333333333335,25.675,1.3333333333333333,1.5833333333333333,80.58333333333333
Albania,Europe,21.25,4.258333333333334,6.866666666666666,73.41666666666667,41.666666666666664,0.375,0.015,1013.3333333333334,29.921666666666667,10.0,6.0,1.4166666666666667,9.233333333333333,14.883333333333331,246.99999999999997,48.791666666666664,4.458333333333333,0.5416666666666667,7.975000000000001,10.491666666666669,1.1666666666666667,1.3333333333333333,80.58333333333333
Algeria,Africa,24.833333333333332,5.599999999999999,9.008333333333335,68.41666666666667,33.333333333333336,0.5333333333333333,0.020833333333333332,1014.0833333333334,29.944999999999993,9.291666666666666,5.5,1.5,12.533333333333333,20.166666666666668,273.27500000000003,65.93333333333334,18.441666666666666,4.158333333333332,18.724999999999998,82.00833333333334,1.25,1.9166666666666667,80.58333333333333
Andorra,Europe,10.833333333333334,3.4000000000000004,5.491666666666667,72.25,22.916666666666668,0.10000000000000002,0.0033333333333333335,1019.9166666666666,30.114166666666673,9.25,5.5,1.25,5.783333333333332,9.333333333333334,172.74166666666665,53.41666666666666,1.4666666666666666,0.37500000000000006,4.3,12.450000000000001,1.0,1.0833333333333333,80.58333333333333
Angola,Africa,22.0,5.483333333333333,8.816666666666665,87.66666666666667,54.166666666666664,0.008333333333333333,0.0,1014.5,29.955000000000002,9.0,5.0,1.4166666666666667,9.758333333333333,15.691666666666665,589.9583333333333,65.75833333333334,7.45,4.45,19.166666666666664,37.55,1.25,1.75,80.58333333333333
Antigua and Barbuda,America,28.5,7.208333333333332,11.574999999999998,76.66666666666667,42.666666666666664,0.06666666666666667,0.0016666666666666668,1014.0,29.94,10.0,6.0,1.4166666666666667,19.441666666666666,31.291666666666668,209.87499999999997,33.85,0.8000000000000002,0.7583333333333333,3.1916666666666664,7.758333333333333,1.0,1.0,80.58333333333333
Argentina,America,12.416666666666666,8.108333333333333,13.049999999999999,71.5,14.583333333333334,0.025000000000000005,0.0008333333333333334,1016.5833333333334,30.019166666666667,10.0,6.0,1.0,11.516666666666667,18.53333333333333,467.02500000000003,28.23333333333333,24.024999999999995,8.108333333333333,5.525000000000001,7.566666666666669,1.0833333333333333,1.0833333333333333,80.58333333333333
Armenia,Asia,23.75,6.0,9.658333333333331,42.416666666666664,4.166666666666667,0.0,0.0,1011.8333333333334,29.87666666666667,10.0,6.0,1.9166666666666667,10.783333333333333,17.375,201.8166666666667,49.050000000000004,3.3499999999999996,0.47500000000000003,5.358333333333333,9.375,1.0833333333333333,1.1666666666666667,80.58333333333333
Australia,Australia,9.916666666666666,9.516666666666667,15.291666666666666,66.16666666666667,25.0,0.016666666666666666,0.0008333333333333334,1018.75,30.0825,10.0,6.0,3.1666666666666665,7.833333333333332,12.608333333333334,228.7833333333333,34.75833333333333,4.325,0.5499999999999999,3.1500000000000004,4.666666666666667,1.0,1.0833333333333333,80.58333333333333
Austria,Europe,15.833333333333334,5.883333333333333,9.449999999999998,76.83333333333333,10.416666666666666,0.008333333333333333,0.0,1018.3333333333334,30.0725,10.0,6.0,1.25,8.341666666666667,13.441666666666665,422.6666666666667,24.941666666666663,23.308333333333337,2.308333333333333,9.783333333333333,12.399999999999999,1.0833333333333333,1.4166666666666667,80.58333333333333
